(EXCLUDING TREASURY SHARES),,,,,,NO. OF ORDINARY SHARES IN WHICH THEY HAVE INTEREST,
"NO. OF TREASURY SHARES 
:","2,400,000  (REPRESENTING  0.264%  OF  THE  TOTAL  NUMBER  OF  ISSUED  SHARES,  EXCLUDING",,,,"DIRECT INTEREST
DEEMED INTEREST",TOTAL,%*
"6
HSBC (SINGAPORE) NOMINEES PTE LTD",,,"32,776,820",3.61,,,
"7
HONG REALTY (PRIVATE) LIMITED",,,"29,088,799",3.21,,,
"8
BPSS NOMINEES SINGAPORE (PTE.) LTD",,,"24,464,136",2.70,,,
"9
RAFFLES NOMINEES (PTE) LTD",,,"22,533,865",2.49,,,
"10
EUROFORM (S) PTE. LIMITED",,,"19,603,045",2.16,,,
"11
HONG LEONG CORPORATION HOLDINGS PTE LTD",,,"18,584,760",2.05,,,
"12
SGI INVESTMENT HOLDINGS PTE LTD",,,"15,752,414",1.74,,,
"13
NIN INVESTMENT HOLDINGS PTE LTD",,,"15,161,490",1.67,,,
"14
GARDEN ESTATES (PTE.) LIMITED",,,"14,152,365",1.56,,,
"15
DAIWA (MALAYA) PRIVATE LIMITED",,,"9,469,000",1.04,,,
"16
GORDON PROPERTIES PTE. LIMITED",,,"9,304,616",1.03,,,
"17
MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD",,,"8,707,258",0.96,,,
"18
UOB NOMINEES (2006) PTE LTD",,,"6,381,460",0.70,,,
"19
OCBC SECURITIES PRIVATE LTD",,,"6,194,460",0.68,,,
"20
UNITED OVERSEAS BANK NOMINEES PTE LTD",,,"5,758,677",0.63,,,
TOTAL,,,"813,909,824",89.75,,,
#,"“SUBSIDIARY HOLDINGS” IS DEFINED IN THE LISTING MANUAL OF THE SINGAPORE EXCHANGE SECURITIES TRADING LIMITED TO MEAN SHARES REFERRED TO IN SECTIONS 21(4), 21(4B),",,,,,,
"21(6A) AND 21(6C) OF THE COMPANIES ACT, CHAPTER 50 OF SINGAPORE.",,,,,,,
*,"THE PERCENTAGE OF ORDINARY SHARES HELD IS BASED ON THE TOTAL NUMBER OF ISSUED ORDINARY SHARES, EXCLUDING TREASURY SHARES AS AT 28 FEBRUARY 2019.",,,,,,
286,,,,,,,287
